Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
P36940	TNFL6_RAT	reviewed	Tumor necrosis factor ligand superfamily member 6 (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]	Faslg Apt1Lg1 Cd95l Fasl Tnfsf6	Rattus norvegicus (Rat)	278	T cell apoptotic process [GO:0070231]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; cellular chloride ion homeostasis [GO:0030644]; endosomal lumen acidification [GO:0048388]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; immune response [GO:0006955]; inflammatory cell apoptotic process [GO:0006925]; necroptotic signaling pathway [GO:0097527]; negative regulation of angiogenesis [GO:0016525]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of neuron apoptotic process [GO:0043525]; release of sequestered calcium ion into cytosol by endoplasmic reticulum [GO:1903514]; response to growth factor [GO:0070848]; response to lipopolysaccharide [GO:0032496]; retinal cell programmed cell death [GO:0046666]	caveola [GO:0005901]; cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle lumen [GO:0060205]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; lysosomal lumen [GO:0043202]; membrane raft [GO:0045121]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	caveola [GO:0005901]; cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle lumen [GO:0060205]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; lysosomal lumen [GO:0043202]; membrane raft [GO:0045121]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; cytokine activity [GO:0005125]; death receptor binding [GO:0005123]; tumor necrosis factor receptor binding [GO:0005164]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; cellular chloride ion homeostasis [GO:0030644]; endosomal lumen acidification [GO:0048388]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; immune response [GO:0006955]; inflammatory cell apoptotic process [GO:0006925]; necroptotic signaling pathway [GO:0097527]; negative regulation of angiogenesis [GO:0016525]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of neuron apoptotic process [GO:0043525]; release of sequestered calcium ion into cytosol by endoplasmic reticulum [GO:1903514]; response to growth factor [GO:0070848]; response to lipopolysaccharide [GO:0032496]; retinal cell programmed cell death [GO:0046666]; T cell apoptotic process [GO:0070231]	cytokine activity [GO:0005125]; death receptor binding [GO:0005123]; tumor necrosis factor receptor binding [GO:0005164]	GO:0000122; GO:0005123; GO:0005125; GO:0005164; GO:0005634; GO:0005901; GO:0006919; GO:0006925; GO:0006955; GO:0008284; GO:0008625; GO:0009897; GO:0016021; GO:0016525; GO:0030644; GO:0031410; GO:0032496; GO:0043123; GO:0043202; GO:0043525; GO:0045121; GO:0045742; GO:0046666; GO:0048388; GO:0048471; GO:0060205; GO:0070062; GO:0070231; GO:0070848; GO:0097527; GO:1903514; GO:2000353
Q0DAE4	GRXC8_ORYSJ	reviewed	Glutaredoxin-C8 (Glutaredoxin-C4 homolog)	GRXC8 Os06g0659500 LOC_Os06g44910 B1047G05.35 OSJNBa0051O02.7	Oryza sativa subsp. japonica (Rice)	136	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; electron transfer activity [GO:0009055]; glutathione-disulfide reductase activity [GO:0004362]; protein disulfide oxidoreductase activity [GO:0015035]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]	electron transfer activity [GO:0009055]; glutathione-disulfide reductase activity [GO:0004362]; protein disulfide oxidoreductase activity [GO:0015035]	GO:0004362; GO:0005737; GO:0009055; GO:0015035; GO:0034599; GO:0045454
Q5RF54	CSN8_PONAB	reviewed	COP9 signalosome complex subunit 8 (Signalosome subunit 8)	COPS8 CSN8	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	209	COP9 signalosome assembly [GO:0010387]; activation of NF-kappaB-inducing kinase activity [GO:0007250]; negative regulation of cell population proliferation [GO:0008285]; protein deneddylation [GO:0000338]; protein phosphorylation [GO:0006468]	COP9 signalosome [GO:0008180]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]	COP9 signalosome [GO:0008180]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; activation of NF-kappaB-inducing kinase activity [GO:0007250]; COP9 signalosome assembly [GO:0010387]; negative regulation of cell population proliferation [GO:0008285]; protein deneddylation [GO:0000338]; protein phosphorylation [GO:0006468]		GO:0000338; GO:0005654; GO:0005829; GO:0006468; GO:0007250; GO:0008180; GO:0008285; GO:0010387; GO:0048471
Q19746	INX3_CAEEL	reviewed	Innexin-3 (Protein opu-3)	inx-3 opu-3 F22F4.2	Caenorhabditis elegans	420	embryonic morphogenesis [GO:0048598]; ion transport [GO:0006811]	cytoplasm [GO:0005737]; gap junction [GO:0005921]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; gap junction [GO:0005921]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; gap junction channel activity [GO:0005243]; gap junction hemi-channel activity [GO:0055077]; embryonic morphogenesis [GO:0048598]; ion transport [GO:0006811]	gap junction channel activity [GO:0005243]; gap junction hemi-channel activity [GO:0055077]	GO:0005243; GO:0005737; GO:0005886; GO:0005921; GO:0006811; GO:0016021; GO:0048598; GO:0055077
Q91X17	UROM_MOUSE	reviewed	Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]	Umod	Mus musculus (Mouse)	642	chemical homeostasis [GO:0048878]; excretion [GO:0007588]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; ion homeostasis [GO:0050801]; leukocyte cell-cell adhesion [GO:0007159]; metanephric ascending thin limb development [GO:0072218]; metanephric distal convoluted tubule development [GO:0072221]; metanephric thick ascending limb development [GO:0072233]; neutrophil migration [GO:1990266]	Golgi apparatus [GO:0005794]; anchored component of membrane [GO:0031225]; apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; ciliary membrane [GO:0060170]; cilium [GO:0005929]; cytoplasmic vesicle [GO:0031410]; extracellular space [GO:0005615]; membrane raft [GO:0045121]; spindle pole [GO:0000922]	anchored component of membrane [GO:0031225]; apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; ciliary membrane [GO:0060170]; cilium [GO:0005929]; cytoplasmic vesicle [GO:0031410]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; membrane raft [GO:0045121]; spindle pole [GO:0000922]; calcium ion binding [GO:0005509]; IgG binding [GO:0019864]; chemical homeostasis [GO:0048878]; excretion [GO:0007588]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; ion homeostasis [GO:0050801]; leukocyte cell-cell adhesion [GO:0007159]; metanephric ascending thin limb development [GO:0072218]; metanephric distal convoluted tubule development [GO:0072221]; metanephric thick ascending limb development [GO:0072233]; neutrophil migration [GO:1990266]	IgG binding [GO:0019864]; calcium ion binding [GO:0005509]	GO:0000922; GO:0005509; GO:0005615; GO:0005794; GO:0005929; GO:0007157; GO:0007159; GO:0007588; GO:0016323; GO:0016324; GO:0019864; GO:0031225; GO:0031410; GO:0045121; GO:0045177; GO:0048878; GO:0050801; GO:0060170; GO:0072218; GO:0072221; GO:0072233; GO:1990266
Q498D6	FGFR4_RAT	reviewed	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	Fgfr4	Rattus norvegicus (Rat)	800	cell migration [GO:0016477]; cholesterol homeostasis [GO:0042632]; fibroblast growth factor receptor signaling pathway [GO:0008543]; glucose homeostasis [GO:0042593]; nervous system development [GO:0007399]; peptidyl-tyrosine phosphorylation [GO:0018108]; phosphate ion homeostasis [GO:0055062]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of proteolysis [GO:0045862]; protein autophosphorylation [GO:0046777]; regulation of bile acid biosynthetic process [GO:0070857]; regulation of extracellular matrix disassembly [GO:0010715]; regulation of lipid metabolic process [GO:0019216]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	Golgi apparatus [GO:0005794]; cell-cell junction [GO:0005911]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; integral component of plasma membrane [GO:0005887]; receptor complex [GO:0043235]; transport vesicle [GO:0030133]	cell-cell junction [GO:0005911]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; receptor complex [GO:0043235]; transport vesicle [GO:0030133]; ATP binding [GO:0005524]; fibroblast growth factor binding [GO:0017134]; fibroblast growth factor-activated receptor activity [GO:0005007]; heparin binding [GO:0008201]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; cell migration [GO:0016477]; cholesterol homeostasis [GO:0042632]; fibroblast growth factor receptor signaling pathway [GO:0008543]; glucose homeostasis [GO:0042593]; nervous system development [GO:0007399]; peptidyl-tyrosine phosphorylation [GO:0018108]; phosphate ion homeostasis [GO:0055062]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of proteolysis [GO:0045862]; protein autophosphorylation [GO:0046777]; regulation of bile acid biosynthetic process [GO:0070857]; regulation of extracellular matrix disassembly [GO:0010715]; regulation of lipid metabolic process [GO:0019216]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ATP binding [GO:0005524]; fibroblast growth factor binding [GO:0017134]; fibroblast growth factor-activated receptor activity [GO:0005007]; heparin binding [GO:0008201]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005007; GO:0005524; GO:0005768; GO:0005783; GO:0005794; GO:0005887; GO:0005911; GO:0007169; GO:0007399; GO:0008201; GO:0008284; GO:0008543; GO:0010628; GO:0010715; GO:0016477; GO:0017134; GO:0018108; GO:0019216; GO:0030133; GO:0042593; GO:0042632; GO:0043085; GO:0043235; GO:0045862; GO:0046777; GO:0055062; GO:0070374; GO:0070857; GO:2000573
P07439	LEC3_MEGRO	reviewed	Lectin BRA-3		Megabalanus rosa (Acorn barnacle)	162			carbohydrate binding [GO:0030246]	carbohydrate binding [GO:0030246]	GO:0030246
Q8HY02	CD209_SYMSY	reviewed	CD209 antigen (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN1) (CD antigen CD209)	CD209	Symphalangus syndactylus (Siamang) (Hylobates syndactylus)	381	adaptive immune response [GO:0002250]; cell adhesion [GO:0007155]; endocytosis [GO:0006897]; innate immune response [GO:0045087]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; mannose binding [GO:0005537]; metal ion binding [GO:0046872]; adaptive immune response [GO:0002250]; cell adhesion [GO:0007155]; endocytosis [GO:0006897]; innate immune response [GO:0045087]	mannose binding [GO:0005537]; metal ion binding [GO:0046872]	GO:0002250; GO:0005537; GO:0006897; GO:0007155; GO:0016021; GO:0045087; GO:0046872
Q9QXZ9	OPN4_MOUSE	reviewed	Melanopsin (Opsin-4)	Opn4 Mop Mopn	Mus musculus (Mouse)	521	G protein-coupled receptor signaling pathway [GO:0007186]; cellular response to light stimulus [GO:0071482]; entrainment of circadian clock by photoperiod [GO:0043153]; phototransduction [GO:0007602]; positive regulation of circadian sleep/wake cycle, sleep [GO:0045938]; protein-chromophore linkage [GO:0018298]; regulation of circadian rhythm [GO:0042752]; rhodopsin mediated signaling pathway [GO:0016056]; rhythmic process [GO:0048511]; visual perception [GO:0007601]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; 11-cis retinal binding [GO:0005502]; G protein-coupled photoreceptor activity [GO:0008020]; cellular response to light stimulus [GO:0071482]; entrainment of circadian clock by photoperiod [GO:0043153]; G protein-coupled receptor signaling pathway [GO:0007186]; phototransduction [GO:0007602]; positive regulation of circadian sleep/wake cycle, sleep [GO:0045938]; protein-chromophore linkage [GO:0018298]; regulation of circadian rhythm [GO:0042752]; rhodopsin mediated signaling pathway [GO:0016056]; rhythmic process [GO:0048511]; visual perception [GO:0007601]	11-cis retinal binding [GO:0005502]; G protein-coupled photoreceptor activity [GO:0008020]	GO:0005502; GO:0005886; GO:0005887; GO:0007186; GO:0007601; GO:0007602; GO:0008020; GO:0016021; GO:0016056; GO:0018298; GO:0042752; GO:0043153; GO:0045938; GO:0048511; GO:0071482
P09241	OPSD_ENTDO	reviewed	Rhodopsin	RHO	Enteroctopus dofleini (North Pacific giant octopus) (Octopus dofleini)	455	phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]; visual perception [GO:0007601]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; photoreceptor activity [GO:0009881]; retinal binding [GO:0016918]; phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]; visual perception [GO:0007601]	G protein-coupled receptor activity [GO:0004930]; photoreceptor activity [GO:0009881]; retinal binding [GO:0016918]	GO:0004930; GO:0007601; GO:0007602; GO:0009881; GO:0016021; GO:0016918; GO:0018298
Q9UHM6	OPN4_HUMAN	reviewed	Melanopsin (Opsin-4)	OPN4 MOP	Homo sapiens (Human)	478	G protein-coupled receptor signaling pathway [GO:0007186]; cellular response to light stimulus [GO:0071482]; phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]; regulation of circadian rhythm [GO:0042752]; rhythmic process [GO:0048511]; visual perception [GO:0007601]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; photoreceptor disc membrane [GO:0097381]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; photoreceptor disc membrane [GO:0097381]; 11-cis retinal binding [GO:0005502]; G protein-coupled photoreceptor activity [GO:0008020]; cellular response to light stimulus [GO:0071482]; G protein-coupled receptor signaling pathway [GO:0007186]; phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]; regulation of circadian rhythm [GO:0042752]; rhythmic process [GO:0048511]; visual perception [GO:0007601]	11-cis retinal binding [GO:0005502]; G protein-coupled photoreceptor activity [GO:0008020]	GO:0005502; GO:0005887; GO:0007186; GO:0007601; GO:0007602; GO:0008020; GO:0016021; GO:0018298; GO:0042752; GO:0048511; GO:0071482; GO:0097381
Q96EZ8	MCRS1_HUMAN	reviewed	Microspherule protein 1 (58 kDa microspherule protein) (Cell cycle-regulated factor p78) (INO80 complex subunit J) (MCRS2)	MCRS1 INO80Q MSP58	Homo sapiens (Human)	462	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; cellular protein modification process [GO:0006464]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; negative regulation of telomerase activity [GO:0051974]; negative regulation of telomere maintenance via telomere lengthening [GO:1904357]; positive regulation of protein localization to nucleolus [GO:1904751]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein deubiquitination [GO:0016579]	Ino80 complex [GO:0031011]; MLL1 complex [GO:0071339]; NSL complex [GO:0044545]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; histone acetyltransferase complex [GO:0000123]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; polysome [GO:0005844]	cytoplasm [GO:0005737]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; histone acetyltransferase complex [GO:0000123]; Ino80 complex [GO:0031011]; MLL1 complex [GO:0071339]; NSL complex [GO:0044545]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; polysome [GO:0005844]; G-quadruplex RNA binding [GO:0002151]; poly(G) binding [GO:0034046]; poly(U) RNA binding [GO:0008266]; telomerase inhibitor activity [GO:0010521]; cellular protein modification process [GO:0006464]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; negative regulation of telomerase activity [GO:0051974]; negative regulation of telomere maintenance via telomere lengthening [GO:1904357]; positive regulation of protein localization to nucleolus [GO:1904751]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein deubiquitination [GO:0016579]	G-quadruplex RNA binding [GO:0002151]; poly(G) binding [GO:0034046]; poly(U) RNA binding [GO:0008266]; telomerase inhibitor activity [GO:0010521]	GO:0000123; GO:0002151; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005783; GO:0005844; GO:0006281; GO:0006310; GO:0006464; GO:0008266; GO:0010521; GO:0016579; GO:0030425; GO:0031011; GO:0034046; GO:0043204; GO:0043981; GO:0043982; GO:0043984; GO:0044545; GO:0045944; GO:0051974; GO:0071339; GO:1904357; GO:1904751
Q03650	CRAM_TRYBB	reviewed	Cysteine-rich, acidic integral membrane protein	CRAM	Trypanosoma brucei brucei	945	endocytosis [GO:0006897]	ciliary pocket [GO:0020016]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ciliary pocket [GO:0020016]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; endocytosis [GO:0006897]		GO:0005886; GO:0006897; GO:0016021; GO:0020016
