Entry	Entry name	Protein names	Gene ontology (biological process)
Q62120	JAK2_MOUSE	Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2)	G protein-coupled receptor signaling pathway [GO:0007186]; activation of Janus kinase activity [GO:0042976]; activation of MAPKK activity [GO:0000186]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097296]; adaptive immune response [GO:0002250]; axon regeneration [GO:0031103]; cell differentiation [GO:0030154]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to interleukin-3 [GO:0036016]; cellular response to lipopolysaccharide [GO:0071222]; cytokine-mediated signaling pathway [GO:0019221]; enzyme linked receptor protein signaling pathway [GO:0007167]; erythrocyte differentiation [GO:0030218]; extrinsic apoptotic signaling pathway [GO:0097191]; growth hormone receptor signaling pathway [GO:0060396]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; histone H3-Y41 phosphorylation [GO:0035409]; hormone-mediated signaling pathway [GO:0009755]; host programmed cell death induced by symbiont [GO:0034050]; interferon-gamma-mediated signaling pathway [GO:0060333]; interleukin-12-mediated signaling pathway [GO:0035722]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; mammary gland epithelium development [GO:0061180]; microglial cell activation [GO:0001774]; mineralocorticoid receptor signaling pathway [GO:0031959]; modulation of chemical synaptic transmission [GO:0050804]; myeloid cell differentiation [GO:0030099]; negative regulation of DNA binding [GO:0043392]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell death [GO:0060548]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of heart contraction [GO:0045822]; negative regulation of neuron apoptotic process [GO:0043524]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of cell activation [GO:0050867]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of epithelial cell apoptotic process [GO:1904037]; positive regulation of growth factor dependent skeletal muscle satellite cell proliferation [GO:1902728]; positive regulation of growth hormone receptor signaling pathway [GO:0060399]; positive regulation of inflammatory response [GO:0050729]; positive regulation of insulin secretion [GO:0032024]; positive regulation of interleukin-1 beta biosynthetic process [GO:0050725]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of receptor biosynthetic process [GO:0010870]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; positive regulation of vascular smooth muscle cell proliferation [GO:1904707]; post-embryonic hemopoiesis [GO:0035166]; postsynapse to nucleus signaling pathway [GO:0099527]; protein autophosphorylation [GO:0046777]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of inflammatory response [GO:0050727]; regulation of nitric oxide biosynthetic process [GO:0045428]; response to antibiotic [GO:0046677]; response to granulocyte macrophage colony-stimulating factor [GO:0097012]; response to hydroperoxide [GO:0033194]; response to interleukin-12 [GO:0070671]; response to lipopolysaccharide [GO:0032496]; response to oxidative stress [GO:0006979]; response to tumor necrosis factor [GO:0034612]; signal transduction [GO:0007165]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; tyrosine phosphorylation of STAT protein [GO:0007260]
Q16584	M3K11_HUMAN	Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25) (Mixed lineage kinase 3) (Src-homology 3 domain-containing proline-rich kinase)	JNK cascade [GO:0007254]; MAPK cascade [GO:0000165]; activation of JUN kinase activity [GO:0007257]; activation of MAPK activity [GO:0000187]; cell death [GO:0008219]; cell population proliferation [GO:0008283]; microtubule-based process [GO:0007017]; positive regulation of JNK cascade [GO:0046330]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of apoptotic process [GO:0043065]; positive regulation of neuron apoptotic process [GO:0043525]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]
Q59192	PARE_BACSU	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	DNA topological change [GO:0006265]; chromosome segregation [GO:0007059]
P55036	PSMD4_HUMAN	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	"Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; NIK/NF-kappaB signaling [GO:0038061]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; T cell receptor signaling pathway [GO:0050852]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; interleukin-1-mediated signaling pathway [GO:0070498]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; post-translational protein modification [GO:0043687]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of mRNA stability [GO:0043488]; regulation of mitotic cell cycle phase transition [GO:1901990]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; transmembrane transport [GO:0055085]; tumor necrosis factor-mediated signaling pathway [GO:0033209]"
P43406	ITAV_MOUSE	Integrin alpha-V (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	ERK1 and ERK2 cascade [GO:0070371]; T cell activation [GO:0042110]; angiogenesis [GO:0001525]; apolipoprotein A-I-mediated signaling pathway [GO:0038027]; apoptotic cell clearance [GO:0043277]; blood vessel development [GO:0001568]; calcium ion transmembrane transport [GO:0070588]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-matrix adhesion [GO:0007160]; cell-substrate adhesion [GO:0031589]; detection of molecule of bacterial origin [GO:0032490]; endodermal cell differentiation [GO:0035987]; endothelial cell migration [GO:0043542]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; fertilization [GO:0009566]; focal adhesion assembly [GO:0048041]; gonad morphogenesis [GO:0035262]; heterotypic cell-cell adhesion [GO:0034113]; inflammatory response [GO:0006954]; integrin-mediated signaling pathway [GO:0007229]; negative chemotaxis [GO:0050919]; negative regulation of entry of bacterium into host cell [GO:2000536]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of lipid storage [GO:0010888]; negative regulation of lipid transport [GO:0032369]; negative regulation of lipoprotein metabolic process [GO:0050748]; negative regulation of low-density lipoprotein particle receptor biosynthetic process [GO:0045715]; negative regulation of macrophage derived foam cell differentiation [GO:0010745]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of osteoblast proliferation [GO:0033690]; regulation of bone resorption [GO:0045124]; regulation of phagocytosis [GO:0050764]; regulation of transforming growth factor beta activation [GO:1901388]; release of sequestered calcium ion into cytosol [GO:0051209]; response to nitric oxide [GO:0071731]; substrate adhesion-dependent cell spreading [GO:0034446]; transforming growth factor-beta secretion [GO:0038044]; trophoblast giant cell differentiation [GO:0060707]; vasculogenesis [GO:0001570]; viral entry into host cell [GO:0046718]
P25819	CATA2_ARATH	Catalase-2 (EC 1.11.1.6)	cell death [GO:0008219]; cell redox homeostasis [GO:0045454]; cellular response to nitrogen starvation [GO:0006995]; cellular response to phosphate starvation [GO:0016036]; cellular response to sulfate starvation [GO:0009970]; hydrogen peroxide catabolic process [GO:0042744]; photoperiodism [GO:0009648]; response to cold [GO:0009409]; response to hydrogen peroxide [GO:0042542]; response to light stimulus [GO:0009416]; response to oxidative stress [GO:0006979]
Q5BPS3	DOR_ARATH	F-box protein DOR (Protein DROUGHT TOLERANCE REPRESSOR)	abscisic acid-activated signaling pathway [GO:0009738]; cellular response to water deprivation [GO:0042631]; negative regulation of abscisic acid-activated signaling pathway [GO:0009788]; protein ubiquitination [GO:0016567]; regulation of stomatal movement [GO:0010119]; response to abscisic acid [GO:0009737]; response to water deprivation [GO:0009414]; stomatal movement [GO:0010118]
Q9SCY0	PGMP_ARATH	"Phosphoglucomutase, chloroplastic (PGM) (EC 5.4.2.2) (Glucose phosphomutase)"	carbohydrate metabolic process [GO:0005975]; detection of gravity [GO:0009590]; galactose catabolic process [GO:0019388]; glucose metabolic process [GO:0006006]; glycogen biosynthetic process [GO:0005978]; response to cold [GO:0009409]; starch biosynthetic process [GO:0019252]
A7MEA2	RUVA_CROS8	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]
Q4UJW3	SSB_RICFE	Single-stranded DNA-binding protein (SSB)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]
Q9H0E2	TOLIP_HUMAN	Toll-interacting protein	autophagy [GO:0006914]; cell-cell signaling [GO:0007267]; epithelial cell differentiation [GO:0030855]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; interleukin-1-mediated signaling pathway [GO:0070498]; intracellular signal transduction [GO:0035556]; leukocyte activation [GO:0045321]; neutrophil degranulation [GO:0043312]; phosphorylation [GO:0016310]; positive regulation of protein sumoylation [GO:0033235]; protein localization to endosome [GO:0036010]; signal transduction [GO:0007165]; ubiquitin-dependent protein catabolic process [GO:0006511]
B2K2M0	YTFE_YERPB	Iron-sulfur cluster repair protein YtfE	protein repair [GO:0030091]; response to nitrosative stress [GO:0051409]; response to oxidative stress [GO:0006979]
F4JEP5	MSH5_ARATH	DNA mismatch repair protein MSH5 (AtMSH5) (MutS protein homolog 5)	chiasma assembly [GO:0051026]; homologous chromosome segregation [GO:0045143]; meiotic mismatch repair involved in reciprocal meiotic recombination [GO:0010777]; mismatch repair [GO:0006298]; reciprocal meiotic recombination [GO:0007131]; resolution of meiotic recombination intermediates [GO:0000712]
Q9Z2X3	PSD10_RAT	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin)	"apoptotic process [GO:0006915]; cytoplasmic sequestering of NF-kappaB [GO:0007253]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell growth [GO:0030307]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; proteasome regulatory particle assembly [GO:0070682]"
A4TH40	PSIE_YERPP	Protein PsiE homolog	cellular response to phosphate starvation [GO:0016036]
Q55E72	PKS1_DICDI	Probable polyketide synthase 1 (dipks1) [Includes: Polyketide synthase stlA (EC 2.3.1.-); Chalcone synthase stlA (EC 2.3.1.74) (Steely1)]	aggregation involved in sorocarp development [GO:0031152]; chemotaxis to cAMP [GO:0043327]; flavonoid biosynthetic process [GO:0009813]; negative regulation of gene expression [GO:0010629]; polyketide biosynthetic process [GO:0030639]; positive regulation of gene expression [GO:0010628]; regulation of cAMP-mediated signaling [GO:0043949]; resorcinol metabolic process [GO:0019505]; signal transduction [GO:0007165]; sorocarp sorus development [GO:0048837]; sorocarp spore cell differentiation [GO:0044671]; sorocarp stalk cell differentiation [GO:0031149]
Q9BDY9	RBM4_RABIT	RNA-binding protein 4 (Lark homolog) (RNA-binding motif protein 4)	"IRES-dependent translational initiation of linear mRNA [GO:0002192]; RNA splicing [GO:0008380]; cap-independent translational initiation [GO:0002190]; cell differentiation [GO:0030154]; circadian regulation of gene expression [GO:0032922]; circadian regulation of translation [GO:0097167]; entrainment of circadian clock by photoperiod [GO:0043153]; mRNA processing [GO:0006397]; miRNA mediated inhibition of translation [GO:0035278]; negative regulation of translation [GO:0017148]; negative regulation of translation in response to stress [GO:0032055]; negative regulation of translational initiation [GO:0045947]; positive regulation of gene expression [GO:0010628]; positive regulation of muscle cell differentiation [GO:0051149]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of nucleocytoplasmic transport [GO:0046822]; response to arsenic-containing substance [GO:0046685]"
Q3YQT7	RECA_EHRCJ	Protein RecA (Recombinase A)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]
Q5UNU2	UVE1H_MIMIV	Putative UV-damage endonuclease (EC 3.-.-.-)	nucleotide-excision repair [GO:0006289]; response to UV [GO:0009411]
Q9W157	BRCA2_DROME	Breast cancer type 2 susceptibility protein homolog (dmbrca2)	DNA repair [GO:0006281]; DNA synthesis involved in double-strand break repair via homologous recombination [GO:0043150]; cell division [GO:0051301]; double-strand break repair via homologous recombination [GO:0000724]; meiotic DNA repair synthesis involved in reciprocal meiotic recombination [GO:0010778]; meiotic recombination checkpoint [GO:0051598]; response to camptothecin [GO:1901563]
Q9ULG1	INO80_HUMAN	Chromatin-remodeling ATPase INO80 (hINO80) (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1) (DNA helicase-related protein INO80) (INO80 complex subunit A)	"ATP-dependent chromatin remodeling [GO:0043044]; DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; UV-damage excision repair [GO:0070914]; cell division [GO:0051301]; cellular response to UV [GO:0034644]; cellular response to ionizing radiation [GO:0071479]; chromatin remodeling [GO:0006338]; double-strand break repair [GO:0006302]; double-strand break repair via homologous recombination [GO:0000724]; mitotic sister chromatid segregation [GO:0000070]; nucleosome mobilization [GO:0042766]; positive regulation of cell growth [GO:0030307]; positive regulation of nuclear cell cycle DNA replication [GO:0010571]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein deubiquitination [GO:0016579]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]; spindle assembly [GO:0051225]; transcription, DNA-templated [GO:0006351]"
